time	V(vout)
3.011722278428762e-04	-1.118120e-02
3.011997894721744e-04	-1.127520e-02
3.012273533690299e-04	-1.133901e-02
3.012549154265380e-04	-1.138232e-02
3.012824791443734e-04	-1.141171e-02
3.013100416214377e-04	-1.143165e-02
3.013376053809724e-04	-1.144518e-02
3.013651684058028e-04	-1.145437e-02
3.013927325621272e-04	-1.146060e-02
3.014202965176926e-04	-1.146483e-02
3.014478617533909e-04	-1.146769e-02
3.014754275455377e-04	-1.146964e-02
3.015029952793183e-04	-1.147095e-02
3.015305649272112e-04	-1.147185e-02
3.015581381937477e-04	-1.147245e-02
3.015857161178231e-04	-1.147286e-02
3.016133014703056e-04	-1.147313e-02
3.016408972858341e-04	-1.147332e-02
3.016685089172537e-04	-1.147344e-02
3.016961434960758e-04	-1.147352e-02
3.017238121441705e-04	-1.147357e-02
3.017515306800075e-04	-1.147361e-02
3.017793228001856e-04	-1.147363e-02
3.018072228676309e-04	-1.147364e-02
3.018352815108884e-04	-1.147365e-02
3.018635724004910e-04	-1.147365e-02
3.018922027883750e-04	-1.147365e-02
3.019213276564484e-04	-1.147365e-02
3.019511697561958e-04	-1.147364e-02
3.019820457995275e-04	-1.147364e-02
3.020144028797436e-04	-1.147363e-02
3.020488662464513e-04	-1.147362e-02
3.020863051408647e-04	-1.147361e-02
3.021279349283025e-04	-1.147361e-02
3.021754840402457e-04	-1.147360e-02
3.022314905866999e-04	-1.147358e-02
3.022998873788457e-04	-1.147357e-02
3.023872264370790e-04	-1.147355e-02
3.050010000000000e-04	-1.147295e-02
3.050020000000000e-04	-1.147295e-02
4.000000000000000e-04	-1.145119e-02
4.000000999818771e-04	-1.145119e-02
4.000002999456315e-04	-1.145119e-02
4.000004003266395e-04	-1.145119e-02
4.000004605073302e-04	-1.145119e-02
4.000004820858095e-04	-1.145119e-02
4.000004933166723e-04	-1.145119e-02
4.000005000316714e-04	-1.145119e-02
4.000005059161068e-04	-1.145119e-02
4.000005117974522e-04	-1.145119e-02
4.000005181443657e-04	-1.145119e-02
4.000005241172862e-04	-1.145119e-02
4.000005302992498e-04	-1.145119e-02
4.000005362479620e-04	-1.145119e-02
4.000005423336588e-04	-1.145119e-02
4.000005482957306e-04	-1.145119e-02
4.000005543569291e-04	-1.145119e-02
4.000005603592163e-04	-1.145119e-02
4.000005664373384e-04	-1.145119e-02
4.000005724955470e-04	-1.145119e-02
4.000005786165982e-04	-1.145119e-02
4.000005847431505e-04	-1.145119e-02
4.000005909270535e-04	-1.145119e-02
4.000005971347451e-04	-1.145119e-02
4.000006033996616e-04	-1.145119e-02
4.000006097030733e-04	-1.145119e-02
4.000006160675313e-04	-1.145119e-02
4.000006224837219e-04	-1.145119e-02
4.000006289679344e-04	-1.145119e-02
4.000006355170573e-04	-1.145119e-02
4.000006421440433e-04	-1.145119e-02
4.000006488501625e-04	-1.145119e-02
4.000006556469918e-04	-1.145119e-02
4.000006625392889e-04	-1.145119e-02
4.000006695387291e-04	-1.145119e-02
4.000006766533640e-04	-1.145119e-02
4.000006838963355e-04	-1.145119e-02
4.000006912794962e-04	-1.145119e-02
4.000006988191677e-04	-1.145119e-02
4.000007065325764e-04	-1.145119e-02
4.000007144421723e-04	-1.145119e-02
4.000007225744856e-04	-1.145119e-02
4.000007309647444e-04	-1.145119e-02
4.000007396594515e-04	-1.145119e-02
4.000007487255164e-04	-1.145119e-02
4.000007582642534e-04	-1.145119e-02
4.000007684445883e-04	-1.145119e-02
4.000007795822276e-04	-1.145119e-02
4.000007923923687e-04	-1.145119e-02
4.000008092993817e-04	-1.145119e-02
4.000008207639018e-04	-1.145119e-02
4.000008328142408e-04	-1.145119e-02
4.000008479633187e-04	-1.145119e-02
4.000008650540951e-04	-1.145119e-02
4.000008794685919e-04	-1.145119e-02
4.000009008581362e-04	-1.145119e-02
4.000009215244929e-04	-1.145119e-02
4.000009586672866e-04	-1.145119e-02
4.000010000000000e-04	-1.145119e-02
4.000010041332713e-04	-1.145119e-02
4.000010123998140e-04	-1.145119e-02
4.000010289328994e-04	-1.145119e-02
4.000010619990701e-04	-1.145119e-02
4.000011281314115e-04	-1.145119e-02
4.000012603960944e-04	-1.145119e-02
4.000015249254602e-04	-1.145119e-02
4.000020539841917e-04	-1.145119e-02
4.000031121016548e-04	-1.145119e-02
4.000052283365810e-04	-1.145119e-02
4.000094608064334e-04	-1.145119e-02
4.000179257461381e-04	-1.145119e-02
4.000348556255476e-04	-1.145118e-02
4.000687153843666e-04	-1.145118e-02
4.001364349020045e-04	-1.145116e-02
4.002718739372805e-04	-1.145113e-02
4.005427520078323e-04	-1.145107e-02
4.010845081489359e-04	-1.145094e-02
4.021680204311432e-04	-1.145070e-02
4.028339754355855e-04	-1.145054e-02
4.036690899911154e-04	-1.145035e-02
4.036700899911154e-04	-1.145035e-02
4.036720899911153e-04	-1.145035e-02
4.036760899911151e-04	-1.145035e-02
4.036840899911148e-04	-1.145035e-02
4.037000899911142e-04	-1.145034e-02
4.037320899911130e-04	-1.145034e-02
4.037960899911105e-04	-1.145032e-02
4.039240899911056e-04	-1.145029e-02
4.041800899910958e-04	-1.145023e-02
4.044890000000197e-04	-1.145016e-02
4.044900000000196e-04	-1.145016e-02
4.044920000000196e-04	-1.145016e-02
4.044960000000194e-04	-1.145016e-02
4.045040000000191e-04	-1.145016e-02
4.045200000000185e-04	-1.145016e-02
4.045520000000173e-04	-1.145015e-02
4.046160000000148e-04	-1.145014e-02
4.047440000000099e-04	-1.145011e-02
4.047450000000098e-04	-1.145011e-02
4.047470000000098e-04	-1.145011e-02
4.047510000000096e-04	-1.145010e-02
4.047590000000093e-04	-1.145010e-02
4.047750000000087e-04	-1.145010e-02
4.048070000000075e-04	-1.145009e-02
4.048710000000050e-04	-1.145008e-02
4.048730000000049e-04	-1.145008e-02
4.048770000000048e-04	-1.145008e-02
4.048850000000045e-04	-1.145007e-02
4.049010000000038e-04	-1.145007e-02
4.049330000000026e-04	-1.145006e-02
4.049450000000021e-04	-1.145006e-02
4.049610000000015e-04	-1.145006e-02
4.049690000000012e-04	-1.145005e-02
4.049850000000006e-04	-1.145005e-02
4.049860000000006e-04	-1.145005e-02
4.049880000000005e-04	-1.145005e-02
4.049920000000003e-04	-1.145005e-02
4.049930000000003e-04	-1.145005e-02
4.049950000000002e-04	-1.145005e-02
4.049970000000001e-04	-1.145005e-02
4.049980000000001e-04	-1.145005e-02
4.049990000000001e-04	-1.145005e-02
4.050000000000000e-04	-1.145005e-02
4.050010000000000e-04	-1.145005e-02
4.050011000000000e-04	-1.145005e-02
4.050013000000000e-04	-1.145005e-02
4.050016000000000e-04	-1.145005e-02
4.050020000000000e-04	-1.145005e-02
4.050034571428571e-04	-1.145005e-02
4.050049142857141e-04	-1.145005e-02
4.050063714285712e-04	-1.145005e-02
4.050078285714282e-04	-1.145005e-02
4.050092857142852e-04	-1.145005e-02
4.050107428571423e-04	-1.145005e-02
4.050121999999994e-04	-1.145004e-02
4.728484799986250e-04	-1.143454e-02
4.843780000000001e-04	-1.143190e-02
4.843900000000003e-04	-1.143190e-02
4.925690000001291e-04	-1.143003e-02
4.925810000001293e-04	-1.143003e-02
4.966640000001936e-04	-1.142910e-02
4.966760000001938e-04	-1.142909e-02
4.987110000002258e-04	-1.142863e-02
4.987230000002260e-04	-1.142863e-02
4.988327142859068e-04	-1.142860e-02
4.989424285715878e-04	-1.142858e-02
4.990521428572686e-04	-1.142855e-02
4.991618571429494e-04	-1.142853e-02
4.992715714286302e-04	-1.142850e-02
4.993812857143112e-04	-1.142848e-02
4.994909999999920e-04	-1.142845e-02
4.995189999999924e-04	-1.142844e-02
4.997459999999960e-04	-1.142839e-02
4.997579999999962e-04	-1.142839e-02
4.999679999999995e-04	-1.142834e-02
4.999719999999996e-04	-1.142834e-02
4.999759999999996e-04	-1.142834e-02
4.999799999999997e-04	-1.142834e-02
4.999839999999998e-04	-1.142834e-02
4.999879999999998e-04	-1.142834e-02
4.999919999999999e-04	-1.142834e-02
4.999959999999999e-04	-1.142834e-02
4.999990000000000e-04	-1.142833e-02
5.000000000000000e-04	-1.142833e-02
5.000001000000000e-04	-1.142833e-02
5.000003000000000e-04	2.156892e+00
5.000006000000000e-04	8.592417e+02
5.000010000000000e-04	3.984540e+03
5.000068457142861e-04	3.682654e+03
5.000126914285723e-04	3.401710e+03
5.000185371428584e-04	3.141710e+03
5.000243828571445e-04	2.902652e+03
5.000302285714306e-04	2.684537e+03
5.000360742857167e-04	2.487365e+03
5.000419200000028e-04	2.311136e+03
5.000688993638870e-04	1.597993e+03
5.000961233762711e-04	1.092686e+03
5.001253497336066e-04	7.244820e+02
5.001522113958797e-04	4.954455e+02
5.001802852593713e-04	3.340340e+02
5.002072373271317e-04	2.285677e+02
5.002352838654592e-04	1.541775e+02
5.002624770081392e-04	1.051305e+02
5.002903771690023e-04	7.103460e+01
5.003176583752627e-04	4.838101e+01
5.003454560752732e-04	3.273198e+01
